Condition,Blue_tHi_Dm,Blue_tHi_Lm,Blue_tLo_Dm,Blue_tLo_Lm,Hot_tHi_Dm,Hot_tHi_Lm,Hot_tLo_Dm,Hot_tLo_Lm
0,1412.9,1389.3,1318,1447.2,1397.6,1456.2,1355.6,1608.3
0,882.94,971.37,1295,1276.8,904.82,1115.9,1118.7,1121.8
0,1379.5,1605.7,1570.9,1814.8,1420.2,1594.5,1695.3,1595.3
0,1314.7,1166.3,1304.6,1154.4,1060.9,1132,1139,1280.4
0,1346.3,1460.6,1452.9,1428.2,1348.2,1390.5,1433.2,1391.5
0,1909.2,1776.7,2143.6,2022.1,1936.5,1998.8,1961.2,1972.2
0,1728.3,1755.5,1940.2,1892.2,1910.5,1852.3,1888.1,1880.9
0,1547.3,1682.9,1924.2,1684.5,1595.3,1637.3,1632.7,1622.9
0,930.92,1067.9,1223,1197.3,1075.6,954.22,1253.2,1249.7
0,1249.2,1182.4,1421.5,1434.9,1313.5,1213.4,1350.1,1366.1
0,2381.8,2145.2,2032.2,2349.7,1796.7,2726.7,2777.9,1964.7
0,1487.6,1474.4,1576.3,1809.1,1516.6,1376.1,1783.9,1806.7
0,1281.9,1205.4,1385.1,1272.5,1354.8,1219.4,1435,1305.4
0,1067.9,1173,1217.4,1191.8,1052.8,1056.4,1153.1,1208.8
0,1153.3,1240.5,1280.7,1234.7,1172.9,1144.4,1248,1229.3
0,1446.5,1319.3,1696.5,1450.2,1009.2,1356.1,1686.9,1448.1
0,1302.4,1687.8,1723.3,1675.3,1980.6,1928.4,1393.5,1673.1
0,1699.2,1671.9,1906.7,1693.2,1714.2,1548.5,1751.6,2041.2
0,938.46,939.4,1000.3,1027.9,912.53,953.07,999.79,994.14
0,1081.2,1110.4,1155.2,1245.3,1005.5,1002.2,1228.9,1136
0,1039.7,1212.8,1360.6,1432.1,1129.9,1144.1,1325.4,1413.1
0,3894,3853.8,3179.1,2769.7,3248.4,3244.9,3195.2,3529.3
0,1465,1552.6,1452.4,1506.2,1484.1,1403.1,1511,1448.9
0,1566.9,1628.5,1623.4,1677.9,1471.1,1591.1,1571.1,1535.4
0,2037.1,1960.5,1927.7,1866.4,1724.8,2000.2,1944.8,1955.4
0,1044.3,1115.2,1138.6,1214.8,1036.6,1092.8,1161.2,1233.1
0,1169.7,1371.3,1310.7,1508.1,1189.7,1223.4,1377.1,1424.8
0,1284.4,1239.9,1301.1,1241.4,1259.7,1188.1,1209.4,1250
0,922.96,1145.9,1188.2,1123.2,887.21,1063.1,1276.1,1130.6
0,2450,2384.3,2318.8,2428.5,2188.5,2240,2265,2294.5
1,1329.8,1342.6,1797,1696.9,1297.1,1410.6,1532.4,1580
1,2125.1,2313.4,2428,2505.7,1918.9,1983.6,1876.1,2104.4
1,1176,1243.3,1256.1,1235.2,1075.9,1246.8,1220.8,1184.6
1,1800.3,1907.3,2083.1,1773.4,1619.9,1946.3,2632.6,2116.2
1,1216.7,1293.8,1243,1324.9,1198.5,1273.3,1287.4,1250.1
1,1067.3,924.39,1074.5,1110.5,1006.3,936.5,1125.1,1129.1
1,1741.6,2261.8,2273.5,2693.3,2388.8,2148.9,1961.1,2607.9
1,1545.6,1456.3,1703,1602.1,1596.1,1532.8,1720.4,1749.4
1,1042.8,1142.7,1280.3,1333,1080.8,1134,1224.8,1252.7
1,1488.3,1411.3,1568.8,1541.5,1517.3,1413.7,1471.8,1604.5
1,1777.8,2218.2,1663.9,1447.6,1146.6,1534.6,1305.6,1478.7
1,1520.4,1837.9,1657.6,2052.9,1674.3,1882.9,1657.7,1776.6
1,1236.6,1281,1356.2,1405.8,1222.3,1373.1,1503.2,1390.8
1,1277.9,1350.8,1353.1,1421.7,1248.9,1306.6,1348.6,1328.8
1,1142.5,1160.9,1189.5,1261.9,1066.5,1170.7,1178.2,1198
1,1314.8,1536,1575.1,1625.7,1347.6,1415.1,1615.9,1586.8
1,1081.8,974.71,1113.6,1110.3,998.92,949.81,1049.6,1080.5
1,1070.2,1094.5,1274.7,1286.2,1099.2,1305.7,1233.9,1215.1
1,1045.1,1282.4,1190,1257.1,1100.6,1254.8,1084.9,1266.2
1,1643.4,1682.5,1776.2,1923.8,1394.4,1539.7,1665,1830.3
1,1317.7,1137.3,1233.4,1207.6,1242.5,1182.6,1230.7,1231.8
1,954.31,952.14,1234.1,1288.3,953.64,1066.9,1149.5,1341.5
1,2328.9,2515.7,2409.4,2472.7,2124.9,2547.8,2350.8,2510.5
1,1720.3,1650.6,1754,1858.6,1626,1877,1756.1,1958.3
1,1347.8,1275.1,1497.5,1526.7,1512.7,1407.9,1422.3,1448.4
1,1128.8,1088.8,1272.3,1234.7,1228.3,1224.8,1323.4,1287.2
1,1419.3,1408.1,1377,1410.1,1452.1,1522.9,1432.8,1458.2
1,1322,1445,1570.7,1706.2,1345.5,1590.2,1550.3,1533
1,1197.2,1370.8,1586,1384.3,1149,1338.3,1587.5,1361.5
1,1222.6,1275,1308.3,1389.1,1252.9,1299.8,1294.4,1318.7
