Condition,Blue_tHi_Dm,Blue_tHi_Lm,Blue_tLo_Dm,Blue_tLo_Lm,Hot_tHi_Dm,Hot_tHi_Lm,Hot_tLo_Dm,Hot_tLo_Lm,Blue_Dm,Blue_Lm,Hot_Dm,Hot_LM,Dm,Lm
0,1652.8,1694.4,1623.2,1694.2,1635.4,1606.5,1635.8,1643.4,1638,1694.3,1635.6,1624.95,1636.8,1659.625
0,1101.1,1135.9,1276.2,1243.5,1181.5,1113.2,1268.5,1285.4,1188.65,1189.7,1225,1199.3,1206.825,1194.5
0,1437.6,1397.8,1662.2,1620.9,1424.5,1483.1,1483.8,1843.3,1549.9,1509.35,1454.15,1663.2,1502.025,1586.275
0,1039.6,1006.7,1222.1,1191.8,966.03,1031.5,1191.9,1200.4,1130.85,1099.25,1078.965,1115.95,1104.9075,1107.6
0,1273.8,1384.3,1249.9,1412.7,1227.5,1157.2,1279.2,1341.5,1261.85,1398.5,1253.35,1249.35,1257.6,1323.925
0,1023.6,1003.5,1149.5,1060.1,1074.6,911.56,1111.6,1043.6,1086.55,1031.8,1093.1,977.58,1089.825,1004.69
0,1292,1259.3,1383.3,1509.4,1184.4,1374.5,1359.2,1496,1337.65,1384.35,1271.8,1435.25,1304.725,1409.8
0,930.21,835.52,1035.3,960.66,861.95,911.31,1011.3,962.59,982.755,898.09,936.625,936.95,959.69,917.52
0,1344,1300.2,1609.5,1598.8,1284.3,1325.4,1499.6,1504.6,1476.75,1449.5,1391.95,1415,1434.35,1432.25
0,1518.3,1214.2,1507.5,1578.5,1254.9,1153.6,1366.4,1293.9,1512.9,1396.35,1310.65,1223.75,1411.775,1310.05
0,1072.1,964.64,1045.3,1058,1071.9,978.34,1135,1129.8,1058.7,1011.32,1103.45,1054.07,1081.075,1032.695
0,1006.3,1048.1,1057.9,1125.3,955.67,1070.2,1094.4,1152.6,1032.1,1086.7,1025.035,1111.4,1028.5675,1099.05
0,1209.9,1281.7,1497.4,1574,1193.3,1183.6,1357.2,1485.9,1353.65,1427.85,1275.25,1334.75,1314.45,1381.3
0,1131.1,1036.4,1137.2,1195.8,1021.2,962.89,1155.3,1098.8,1134.15,1116.1,1088.25,1030.845,1111.2,1073.4725
0,869.32,902.75,920.8,929.54,973.01,884.63,974.26,989.88,895.06,916.145,973.635,937.255,934.3475,926.7
0,1224.6,1243.4,1406.1,1324.8,1324.5,1222.4,1275.8,1338.4,1315.35,1284.1,1300.15,1280.4,1307.75,1282.25
0,2180.3,1723.2,1584.7,1569.8,1701.8,1626.6,1546.4,1768.2,1882.5,1646.5,1624.1,1697.4,1753.3,1671.95
0,968.7,903.78,1073.4,1007.9,1017.1,917.99,1047.2,1005.9,1021.05,955.84,1032.15,961.945,1026.6,958.8925
0,1444.8,1392.2,1471.3,1472.2,1421.7,1421.6,1472.7,1480.1,1458.05,1432.2,1447.2,1450.85,1452.625,1441.525
0,1046.3,882.65,1130.6,1110.7,1150.7,1010.9,1079.8,1130,1088.45,996.675,1115.25,1070.45,1101.85,1033.5625
0,1123.9,1196.4,1217.5,1251.2,1100.5,1126.7,1323.7,1269.9,1170.7,1223.8,1212.1,1198.3,1191.4,1211.05
0,1301.6,1208.4,1396.4,1256.9,1186.4,1281.7,1325.6,1230.5,1349,1232.65,1256,1256.1,1302.5,1244.375
0,877.88,1045.9,1104.4,1105.6,904.78,973.26,1077,1215,991.14,1075.75,990.89,1094.13,991.015,1084.94
0,918.36,968.01,988.46,1030,962.49,897.92,1057.4,1092.7,953.41,999.005,1009.945,995.31,981.6775,997.1575
0,873.08,977.98,983.9,962.8,889.92,996.17,904.72,964.9,928.49,970.39,897.32,980.535,912.905,975.4625
0,1467,1338.4,1512.8,1612.2,1385.6,1432.6,1465.1,1612.1,1489.9,1475.3,1425.35,1522.35,1457.625,1498.825
0,1080,1057.8,1193.1,1176.2,1084.3,1173.4,1160.2,1182.3,1136.55,1117,1122.25,1177.85,1129.4,1147.425
0,1377.3,1459.6,1611.6,1676.1,1445.7,1356.5,1592.9,1526.4,1494.45,1567.85,1519.3,1441.45,1506.875,1504.65
0,1331.4,1275.6,1404.2,1464.9,1303.5,1224.3,1459.9,1484.6,1367.8,1370.25,1381.7,1354.45,1374.75,1362.35
0,1375.9,1410.4,1512,1652.6,1365,1410,1582.1,1625.7,1443.95,1531.5,1473.55,1517.85,1458.75,1524.675
1,1044.1,1481.6,1396.9,1490.2,1175.6,1318.9,1544.3,1365.5,1220.5,1485.9,1359.95,1342.2,1290.225,1414.05
1,1423.4,1658.9,1631.3,1690.6,1389,1635.9,1558.6,1687.1,1527.35,1674.75,1473.8,1661.5,1500.575,1668.125
1,842.92,920.77,1059.9,1130.8,887.05,1018.4,995.01,1106.7,951.41,1025.785,941.03,1062.55,946.22,1044.1675
1,1279.2,1242.9,1374.6,1416.1,1244.1,1342.1,1283.6,1249.8,1326.9,1329.5,1263.85,1295.95,1295.375,1312.725
1,1253,1532.7,1521.9,1579.1,1450.7,1427.9,1424.5,1716.4,1387.45,1555.9,1437.6,1572.15,1412.525,1564.025
1,1194.1,1217.8,1262,1322.3,1218.2,1216.2,1299.2,1271.7,1228.05,1270.05,1258.7,1243.95,1243.375,1257
1,1165,1196.5,1270.6,1281.8,1133.4,1232.1,1309.4,1346,1217.8,1239.15,1221.4,1289.05,1219.6,1264.1
1,1091.3,1150.9,1135.8,1312,1067.9,1029.7,1168.2,1246.8,1113.55,1231.45,1118.05,1138.25,1115.8,1184.85
1,1362.1,1595.7,1386.1,1569.8,1354.7,1673.9,1413,1671.9,1374.1,1582.75,1383.85,1672.9,1378.975,1627.825
1,1536,1612.7,1779.1,1549.7,1718.7,1502.5,1690,1644.1,1657.55,1581.2,1704.35,1573.3,1680.95,1577.25
