Condition,Blue_tHi_Dm,Blue_tHi_Lm,Blue_tLo_Dm,Blue_tLo_Lm,Hot_tHi_Dm,Hot_tHi_Lm,Hot_tLo_Dm,Hot_tLo_Lm,Blue_Dm,Blue_Lm,Hot_Dm,Hot_LM,Dm,Lm
1,1206.3,1297.8,1100.2,1256.5,1244.9,1465.5,1124.5,1232.9,1153.25,1277.15,1184.7,1349.2,1168.975,1313.175
1,1361.5,1376.5,1064.2,1260,1369.4,1316.9,1301.7,1228.3,1212.85,1318.25,1335.55,1272.6,1274.2,1295.425
1,2111.8,2260.9,2025.7,2134,2139.2,2244.3,2399.5,2150.1,2068.75,2197.45,2269.35,2197.2,2169.05,2197.325
1,1455.8,1530,1279.4,1399.1,1367.4,1739.3,1169.8,1503.1,1367.6,1464.55,1268.6,1621.2,1318.1,1542.875
1,1348.5,1479.7,1207.4,1243.4,1363.2,1372.6,1159.5,1193.2,1277.95,1361.55,1261.35,1282.9,1269.65,1322.225
1,1593.8,1837.5,1727.9,1414.7,1725.3,1855.2,1859.5,2142.2,1660.85,1626.1,1792.4,1998.7,1726.625,1812.4
1,984.09,1049.8,979.75,872.92,1020.7,1004.3,918.29,892.33,981.92,961.36,969.495,948.315,975.7075,954.8375
1,1552.3,1706.3,1572.4,1676.4,1487.4,1503.8,1617.4,1478.2,1562.35,1691.35,1552.4,1491,1557.375,1591.175
1,1110.9,1096.6,990.34,1044.2,1049.7,1071,1014.6,1080.5,1050.62,1070.4,1032.15,1075.75,1041.385,1073.075
1,1821.3,1610.9,1659.4,1575.6,1735.2,1850.9,1529.5,1459.3,1740.35,1593.25,1632.35,1655.1,1686.35,1624.175
1,1163.5,1265.9,1211.2,1205.2,1296.3,1194.6,1192.5,1243.3,1187.35,1235.55,1244.4,1218.95,1215.875,1227.25
1,1067.4,1148.7,1050.9,1105.2,1104.3,1113.6,1051.3,1269.9,1059.15,1126.95,1077.8,1191.75,1068.475,1159.35
1,876.82,952.24,937.88,852.58,954.94,895.4,856.69,910.18,907.35,902.41,905.815,902.79,906.5825,902.6
1,1092.7,1196.1,1081.3,1088.9,1177.4,1178.4,1085.3,1127.2,1087,1142.5,1131.35,1152.8,1109.175,1147.65
1,1439.6,1378.8,1108.3,1437.5,1293.8,1516.6,1122.8,1297.7,1273.95,1408.15,1208.3,1407.15,1241.125,1407.65
1,1544.6,1676.5,1377.3,1553.6,1610,1633.3,1311,1293.7,1460.95,1615.05,1460.5,1463.5,1460.725,1539.275
