Subject,H_Dhs_Ghi_Dm,H_Dhs_Glo_Dm,H_Lhs_Ghi_Lm,H_Lhs_Glo_Lm,V_Dhs_Ghi_Dm,V_Dhs_Glo_Dm,V_Lhs_Ghi_Lm,V_Lhs_Glo_Lm
1,1288,1299.6,1600.2,1438.7,1186.4,1569.4,1365.2,1695.1
2,997.49,1028.9,1041,1069.1,1039.4,1007.2,1037.2,1133.5
3,1672.4,1765.9,1376.5,1397,1547.1,1567,1461.8,1578.6
4,871.96,832.07,904.23,819.45,860.38,862.46,894.03,857.95
5,1247.2,1237.9,1253.8,1515.8,1419.3,1395.5,1418.6,1534.4
6,1144.1,1139.2,1187.5,1161,1101.6,1316,1230.5,1188
7,1153,1110.9,1133.4,1087.4,974.21,1185.4,956.34,1069
8,1079.9,1371.5,1162.1,1186.1,1285.6,1164.8,1326.2,1321.1
9,1124.3,1066.9,1175.4,1109.2,1125.9,1042.5,1094.7,1096.8
10,1305.7,1418.3,1292.6,1229.3,1259.4,1297.1,1324.4,1340.7
11,1043,966.15,1092.3,1054.1,1060.1,1016.5,1161.8,1142.1
12,1050.3,1114,1258.4,1305.4,1171.6,1252.2,1166.9,1382.1
13,808.32,836.5,918.52,937.95,852.42,936.04,849.82,898.14
14,1081.1,1051.9,1263.1,1369.2,1121.1,1125.4,1026.5,1130.7
15,1190.3,1268.1,1295.9,1350.7,1213.3,1191.7,1318,1333.1
16,924.74,1047.1,1066.8,1175,1008.8,1084.1,1083.4,1214.6
17,855.3,943.6,1098.4,1085.2,869.3,959.5,1035.4,1038
18,1465.3,1532.1,1531.9,1506,1635.8,1616,1441.3,1658.5
19,909.96,925.75,1022.2,951.62,905.27,984.73,972.07,958.74
20,1084.2,1371,1125,1306.6,1220.9,1259.4,1091.8,1153.9
21,1174.8,1353.8,1228.9,1281.4,1294.9,1278.1,1444.1,1377.2
22,1000.3,1350.6,1050.2,1071.3,948.41,1052.7,1212.8,1367.5
23,1071.7,1052.9,928.11,1037.1,967.95,995.39,1031.7,1005
24,825.2,935.63,924.57,842.08,911.31,947.98,957.92,945.38
25,839.17,1034.9,864.51,1055.4,891.73,1087.8,913.34,1047.6
26,1470.2,1538.3,1433.8,1584.8,1377.2,1464.9,1550.1,1588.6
27,2063.2,2011.4,2072.6,1814.8,2048.1,1795.3,2102.4,2364.7
28,823.23,922.1,879.58,858.42,899.68,867.8,817.43,874.88
29,679.71,687.64,701.91,718.28,659.52,716.84,674.21,694.13
30,1412.3,1586.3,1585,1487.7,1475.4,1646.2,1566.5,1603
