Subj,Group,A_Dhs_Ghi_Dm,A_Dhs_Ghi_Lm,A_Dhs_Glo_Dm,A_Dhs_Glo_Lm,A_Lhs_Ghi_Dm,A_Lhs_Ghi_Lm,A_Lhs_Glo_Dm,A_Lhs_Glo_Lm,V_Dhs_Ghi_Dm,V_Dhs_Ghi_Lm,V_Dhs_Glo_Dm,V_Dhs_Glo_Lm,V_Lhs_Ghi_Dm,V_Lhs_Ghi_Lm,V_Lhs_Glo_Dm,V_Lhs_Glo_Lm
12,Conc1st,800,870.8,932.78,952.39,811.75,846.95,936.78,939.48,834.1,917.67,979.27,1002.8,828.7,949.29,1022,930.93
13,Conc1st,970.78,1181.8,1124.6,1298.5,999.7,1157.7,1079.5,1124.8,1114.9,1139.4,1165.9,1269.2,1041,1161.4,1238,1263.2
14,Conc1st,1157.4,1317.9,1379.5,1332.7,1349.5,1363.5,1245.2,1265.6,1243.9,1315,1351.3,1331.9,1233.2,1323.4,1265.4,1142.4
15,Conc1st,817.12,840.27,831.67,998.74,807,905.63,857.61,974.55,835.2,856.04,916.93,939.55,817.08,873.09,884.64,985.9
16,Conc1st,862.49,861.34,831.83,849.67,869.67,797.12,847,836.52,826.5,845.99,871.03,833.89,927.7,778.19,868.14,793.15
17,Conc1st,914.09,892.43,1073.4,1108.9,882.44,892.65,1103.1,1057.8,924.5,935.79,1061.2,1118.5,901.55,984.7,1078,1080.5
18,Conc1st,1470.6,1706.6,1660.4,1606.4,1520.2,1581.2,1577.4,1699,1537.3,1672.8,1685.8,1801.5,1615.5,1813.9,1755.7,1681.6
19,Conc1st,1075.1,1130.3,1183.2,1258.1,1088.6,1249.8,1215.9,1206.2,1131.2,1218.5,1203.2,1248.4,980.25,1130.4,1251.4,1217.5
20,Conc1st,824.48,978.65,947.85,922.17,827.56,892.45,897.26,968.33,804.79,825.08,922.82,878.25,857.88,911.44,980.9,914.31
21,Conc1st,846.58,881.59,832.01,835.5,870.67,847.34,816.92,827.38,866.04,850.34,812.77,838.94,864.66,860.52,844.25,813.25
22,Conc1st,1292.3,1349.2,1318.2,1305.1,1306,1357.8,1275.9,1280.1,1439.2,1302.8,1301,1265,1313.7,1248.2,1259.5,1229.2
23,Conc1st,872.85,962.83,1050.2,1054.5,895.5,1033.2,1033.4,1088.8,968.1,934.08,1060.3,1090,927.26,939.99,993.9,1028.5
24,Conc1st,1118.7,1059.6,1182.3,1098.7,978.7,1035.2,1186.9,1090.1,933,1009.7,1102.1,1290.5,1077.7,1063.3,1190.4,1153.4
25,Conc1st,1006,1184.1,1238.3,1274,1109.8,1341.5,1346,1260.6,1309.8,1298.6,1368.2,1384.9,1214.2,1292.2,1420.8,1318.7
26,Conc1st,745.67,798.14,817.83,838.74,788.8,856.68,807.97,852.61,788.79,779.92,816.38,820.15,752.03,803.08,803.92,868.44
27,Conc1st,1159.2,1266.3,1247.4,1297.5,1160.6,1371.1,1218,1460.4,1297.3,1338.5,1338,1409.6,1283.9,1260.2,1252.7,1368.8
28,Conc1st,947.34,960.48,982.24,1005.3,967.42,981.83,1032.6,1054.3,995.5,927.19,1072.1,1071.7,997.6,981.6,1043.1,1055.3
29,Conc1st,946.14,1038.2,980.69,982.88,971.2,949.71,896.5,945.15,1036.3,1024.7,920.46,1047.3,892.59,957.84,956.62,1037.3
30,Conc1st,934.59,1101.8,995.47,1104.1,1031.2,1052.8,1021.6,1079.3,936.07,1007.5,1059.3,1128.9,998.7,1044.3,983.26,1061.5
31,Conc2nd,1275.8,1343.4,1225,1517.3,1131.2,1406.8,1275.9,1392.4,1375.5,1357.7,1444,1584.5,1196.8,1241.6,1443.7,1520.9
32,Conc2nd,914.34,1051.3,975.83,1069.5,1111.3,1034.2,1204.3,1016.7,985.22,944.7,1010.3,1081.1,935.69,932.65,980.45,1023.8
33,Conc2nd,951.29,850.77,1109.1,957.02,915.62,1033.7,991.14,1044.2,959.92,1033,1165.8,1002.8,948.56,947.06,1055,1034
34,Conc2nd,845.08,948.58,963.51,1007.8,885.74,968.42,1056.4,1039.1,884.48,876.42,980.65,1058.7,862.6,926.88,1010.5,1016.2
35,Conc2nd,890.97,1107.7,1031.8,1063.4,898.75,905.6,1049.7,1109.7,916.61,899.09,1032.4,1190.7,842.8,983.29,1120,1077.4
36,Conc2nd,830.62,899.95,966.7,960,879.47,915.13,955.58,910.67,863.31,913.33,957.2,941.8,884.24,827.7,948.62,948.97
37,Conc2nd,729.62,843.29,889.58,872.29,810.87,801.18,939.85,892.88,787.69,831.29,862.35,959.97,815.62,821.92,899.59,1014.1
38,Conc2nd,1153.3,1117.8,1306,1300.6,1141.8,1190.1,1224.7,1273.6,1076.2,1221,1268.7,1261.2,1197.8,1200.2,1267.3,1247.8
39,Conc2nd,817.14,1073.2,895.92,975.09,884.24,966.26,891.4,1012.2,941.4,982.56,941.39,951.92,857.98,894.36,932.26,980.88
40,Conc2nd,1085.7,1310.9,1206.2,1355.5,1172.2,1301,1360.7,1506.6,1262.5,1322.3,1300.3,1314.6,1270.9,1433.9,1365.8,1357
41,Conc2nd,780.37,822.03,831.87,855.71,775.1,770.48,844.07,902.12,858.23,784.85,819.83,848.86,753.29,754.92,899.63,932.1
42,Conc2nd,868.84,1026.6,823.91,971.89,908.67,1002,843.12,909.92,997.11,990.89,857.85,880.14,1006.1,975.36,868.13,846.95
43,Conc2nd,903,897.01,1112,1157.5,1085,905.92,1164.2,1000.7,1122.8,984.43,1116.9,981.73,1115.1,909.2,1184.9,1000.9
44,Conc2nd,998.88,1090.7,1013.4,1080.5,959.75,1128.4,1039.4,1080,1034.8,1053,1006,1056.3,996.08,1149.1,1042.3,1101.1
45,Conc2nd,981.75,1019.1,932.03,956.31,970.77,1044.8,922.39,1006.5,995.14,1014.4,997.67,963.87,990,1042.9,902.37,1008.4
46,Conc2nd,722.97,735.91,756.39,757.87,708.2,740.64,768.29,731.19,697.95,724.12,782.43,768.78,730.53,713.58,750.03,777.63
47,Conc2nd,822.57,1064.7,886.61,1081.8,850.7,1045.4,930.11,1003.6,889.53,1073.6,1000.8,1089.5,973.75,1114.1,958.49,1076.1
48,Conc2nd,981.02,1013.9,1068.9,1030.4,840.48,1025.5,1047.3,1000.4,956.17,1014.2,1064,1025.5,930.5,1007.6,1064.4,1050.9
49,Conc2nd,936.2,1019.9,1038,1051.1,1014.8,1045.8,985.55,1059.8,1025.7,1004.7,1058.3,1123.6,1039.9,1001,1057,1020.8
50,Conc2nd,839.33,800.47,921.27,904.09,792.08,808.85,917.12,806.76,779.9,802.89,965.76,947.62,828.37,814.53,978.98,847.08
51,Conc2nd,855.77,950.93,923.7,973.92,851.64,920.83,921.92,929.34,885.02,905.3,887.5,966.25,903.17,866.07,955.53,959.86
52,Conc2nd,788.58,850.87,799.17,853.76,854.97,896.83,832.45,862.61,803.87,790.16,852.06,823.24,871.03,871.83,840.94,836.24
53,Conc2nd,822.07,878.55,873.66,836.44,849.61,1015.6,984.9,834.03,802.58,797.22,920.07,862,867.97,827.06,908.39,770.44
54,Conc2nd,799.89,742.29,786.41,734.69,822.63,749.77,801.19,754.24,777.75,772.74,762.2,755.12,782.48,791.08,800.9,727.88
55,Conc2nd,771.37,870.76,885.75,972.15,814.46,894.65,945.19,965.23,839.18,806.62,923.02,988.89,815.27,868.52,930.71,997.82
56,Conc2nd,1005.8,991.73,952.76,1053.5,1128.7,1047.7,938.28,1014.1,970.45,1144.3,853,1027,969.5,1018.8,949.67,1042.8
57,Conc2nd,940.8,875.39,914.6,870.6,884.02,859.27,898.8,904.9,834.84,901.55,811.33,937.27,850.91,893.79,908.89,869.87
58,Conc2nd,1075.3,1065.8,1048.8,1023,1114.9,1019.8,1030.6,1029.7,1017.2,1114.6,941.52,978.59,1047,1084.7,996.59,1012.9
59,Conc2nd,783.03,989.11,903.18,1029.3,837.58,926,933.93,1066.2,821.83,885.64,889.61,1154.9,903.96,936.24,952.48,1080.3
60,Conc2nd,688.78,937.51,834.61,841.57,648.62,907.02,886.13,940.55,722.61,839.74,839.09,875.72,662.15,899.49,873.16,926.37
