Subj,Group,A_Dhs_Ghi_Dm,A_Dhs_Ghi_Lm,A_Dhs_Glo_Dm,A_Dhs_Glo_Lm,A_Lhs_Ghi_Dm,A_Lhs_Ghi_Lm,A_Lhs_Glo_Dm,A_Lhs_Glo_Lm,V_Dhs_Ghi_Dm,V_Dhs_Ghi_Lm,V_Dhs_Glo_Dm,V_Dhs_Glo_Lm,V_Lhs_Ghi_Dm,V_Lhs_Ghi_Lm,V_Lhs_Glo_Dm,V_Lhs_Glo_Lm
1,Conc1st,1096.6,1137,1107.8,1178.1,1100.8,1091.5,1129.3,1156,1201.2,1120.4,1152.3,1183.1,1172.8,1092.4,1237.7,1134.8
2,Conc1st,953.64,1002.1,1137.5,1167,907.59,1047.9,1023.9,1074.9,1036,1028.7,1131.6,1127.7,989.97,968.76,1120.8,1132.2
3,Conc1st,935.21,1082,1005.9,949.39,904.9,1087.9,959.45,1009.4,957.18,1104.7,958.24,968,974.72,1046.9,938.44,969.07
4,Conc1st,823.35,975.8,1029.7,945.42,848.14,1027.6,902.54,1005.5,934.57,912.64,950.55,915.5,907.25,949.44,1043,902.77
5,Conc1st,990.57,935.57,926.77,1047.9,937.18,942.24,945.37,1027.6,964.26,1046.7,987.7,1090.6,1005.4,977.99,994.95,974.03
6,Conc1st,997.09,1072.4,982.26,985.86,914.32,1044.2,997.08,979.53,964.28,963.65,983.76,980.71,1013.9,957.38,998.04,993.4
7,Conc1st,1349.6,1407.6,1508.1,1511.6,1260.3,1382.3,1588.4,1444,1385.1,1235.6,1566.7,1678.8,1244.2,1324.9,1662.8,1675.7
8,Conc1st,1748.2,1737.3,1601.9,1760,1377.3,1505.2,1566,1840.2,1499.8,1538.4,1819.9,1917.8,1353.4,1607,1801.2,1856.4
9,Conc1st,935.75,953.93,931.69,1054.7,939.56,1015.2,995.44,991.14,932.53,1040.6,950.39,981.81,921.17,1020.1,1033.3,1130.7
10,Conc1st,1067.9,1075.2,1205.8,1251.1,1050.7,1233.7,1102.9,1267,1140.2,1134.4,1191.9,1203.8,1037.8,1152.3,1211.9,1172.1
11,Conc1st,1089.1,1239.3,1187.3,1304.4,1154.1,1261.8,1196.9,1324.4,1189.2,1133.8,1325.3,1344.7,1208,1276.7,1264.8,1284.8
