Subject,H_Dhs_Ghi_Dm,H_Dhs_Glo_Dm,H_Lhs_Ghi_Lm,H_Lhs_Glo_Lm,V_Dhs_Ghi_Dm,V_Dhs_Glo_Dm,V_Lhs_Ghi_Lm,V_Lhs_Glo_Lm
1,1623.6,1829.9,1579.6,1609.9,1481.2,1614.7,1602.9,1611.4
2,965.26,994.38,933.37,1042,986.81,1004.9,893.89,1009.9
3,1441.6,1588.8,1555.5,1690.4,1479.2,1410.1,1661.3,1595.5
4,1208.5,1375.8,1271.1,1287.8,1364.8,1312.3,1267.9,1366.2
5,1041.4,1102.2,1071,1157.2,1108.6,1193.1,1053.4,1046.5
6,1008.7,1092.9,970.5,1169.6,932.25,1118.8,993.39,1149.5
7,1092.2,1110.3,1123.9,1287.8,1031.8,1170.6,1057.3,1080.2
8,1067.4,1114.1,1065.7,1146.3,1039,1103.1,1077.5,1049.9
9,876.08,988.89,975.71,978.52,882.11,963.39,1013.4,981.2
10,1080.6,1245.7,1131.6,1619,1165,1364.1,1270.7,1610.2
11,1266.2,1509.2,1332.9,1554.4,1420.2,1504.6,1519.6,1443.6
12,1205,1252,1325.9,1334.6,1269.6,1251.7,1297.6,1342.2
13,1040.4,1164.5,1006.4,1091.1,1088.7,1037.5,919.23,964.18
14,881.78,886.9,995.65,923.34,824.56,866.24,967.44,915.57
15,1248.7,1315.4,1301,1421.3,1285.2,1171.1,1237.7,1295.7
16,1025.1,1104.1,963.06,1132.8,844.67,1192.7,998.69,1115.1
17,1273.5,1284.8,1210.5,1330.8,1234.2,1284.5,1290.1,1404.4
18,1156.1,1268.7,1242.3,1296.3,1269.6,1359.8,1097.8,1224
19,1496.3,1387.5,1443.8,1450.3,1369.1,1563.5,1612.6,1547.5
20,1156.2,1187.2,1145.3,1252.5,1126.5,1146.8,1020,1204.1
21,1257,1441.9,1551.9,1418.2,1402.3,1265.3,1479.6,1407.5
22,1074.8,1173.1,1166.1,1244.1,1068.4,1105.6,1207.2,1272.6
23,1130.2,1264.7,1137.3,1248.5,1144.4,1450.2,1159.6,1439.4
24,1526.8,1587.7,1584.8,1755,1632.3,1481.7,1511.8,1615.2
25,990.36,1128.4,1060.7,1136.3,1003.7,1149.3,1128.6,1084.5
26,791.89,941.16,861.58,961.21,875.54,909.62,853.18,952.78
27,1208.9,1485.6,1107.3,1724,1361.2,1541.1,1515.1,1428.4
28,871.8,938.87,935.79,1022.8,867.68,1005.6,991.03,1054
29,1033.6,1012.1,1042.5,1089.6,1010.5,909.57,1021.8,916.45
30,874.69,1066,927.5,1004,788.39,957.79,1048.4,998.14
