Subject,H_Dhs_Ghi_Dm,H_Dhs_Ghi_Lm,H_Dhs_Glo_Dm,H_Dhs_Glo_Lm,H_Lhs_Ghi_Dm,H_Lhs_Ghi_Lm,H_Lhs_Glo_Dm,H_Lhs_Glo_Lm,V_Dhs_Ghi_Dm,V_Dhs_Ghi_Lm,V_Dhs_Glo_Dm,V_Dhs_Glo_Lm,V_Lhs_Ghi_Dm,V_Lhs_Ghi_Lm,V_Lhs_Glo_Dm,V_Lhs_Glo_Lm
1,1454.1,1366.8,1247.1,1493.5,1322.3,1273,1264,1222.6,1413.2,1252.2,1254.2,1279.6,1395.5,1442.6,1405.4,1460.9
2,1043,918.75,1240.2,1244.3,974.38,1106.4,1458,1117.8,1083,1041,1087.7,1139.1,1211.9,1164.2,1285,1128
3,886.1,864.75,878.92,918.3,889.45,904.42,873.53,869.08,867.33,874.38,917.5,887.92,961.6,885.67,898.12,861.32
4,952.25,1371,1215.8,1315.8,1107.8,1273.4,1330.9,1293.1,1121.1,1202.9,1135.2,1310.1,1085.2,1326.4,1203,1115.4
5,1098.6,1220.3,1123,1237.5,1114.8,1140.9,925.27,1153,1247.3,1103.2,1009.1,1194.2,1250.9,918.75,1082.2,1217.7
6,1484.4,1764,1450.9,1473.7,1214,1648.5,1655.8,1565.2,1038.9,1568.1,1482.3,1459.5,1558.2,1097,1607.5,1573
7,903.7,961.18,1116.5,1172.3,977.25,1130,1018.2,1186.5,909.67,978.58,1014.4,1178.6,1001.5,1028.3,1007.4,1030.3
8,1104.5,1467.2,1318.7,1311.7,1370.8,1211.5,1305.8,1245.8,1202.2,1331.9,1237.4,1304.4,1103.5,1245.3,1308.2,1170.9
9,961.58,1357.6,1144.3,1163.5,1032.7,1051.4,1108.5,1150.4,1034.6,1046.6,1008.3,1028.9,1077,1097.5,1173.1,1165.2
10,977.33,1044,1127.6,1295.6,1040.5,1048.6,1247.8,1090.8,1026.2,1136.8,1082.9,1155.3,984.25,1088.3,1156.6,1428.3
11,1326.7,1350.8,1285,1303,1216.9,1040,1386.5,1377.6,1138.6,1406.9,1235.8,1411.1,1327.8,1191.3,1338.2,1291.7
12,882.03,910.75,960.92,1098.1,997.08,876.42,1010.9,977.67,878.17,909.68,993.4,1009.4,859,923.92,1089.2,861.12
13,889.75,1135.2,1036.7,1024.2,982.75,875.03,1081.7,1094.1,956.03,931.75,949.25,1124.5,880.83,845.62,992.9,1142.6
14,1435.8,1520.2,1624.7,1608.3,1803.5,1567.3,1865.2,1708.8,1489.7,1753.7,1550.4,1895.8,1466.6,1520.4,1472.5,1770.7
15,1359.9,1430.7,1174.5,1232.2,1272,1210.5,1291.5,1356.3,1206.9,1285,1196.4,1210.6,1224.3,1297.3,1072.8,1325.5
16,876,890.67,987.62,947.6,899,961.92,1106.5,974.5,892.25,997.17,977.42,1024.1,935.9,905.67,1073.8,1025.3
17,896.08,869.83,905.25,849.2,869.15,811.83,943.88,899,923.08,835.75,894.2,903.57,843.15,811.75,971.75,900.67
18,1151.2,1313.7,1238,1334.5,1126.3,1168.6,1372.5,1056.6,1121.3,1223.8,1233.3,1187.4,1113.7,1113.8,1215.3,1195.6
19,1179.6,1077.4,1041.6,1094.1,976,1089.6,1113.9,959,1020.9,981.75,952.58,982.35,1309.9,908.4,1036,837.67
20,1184.2,1400.1,975.92,1232.5,1255.2,1236.8,1206.1,1085.2,1007.3,1215.9,1072.8,1467.4,1143.9,1317.5,1213.4,1035.3
21,1104.8,1205.3,1091.8,1160.7,1118,1144.7,1218.9,1200.3,1013.9,1110.8,1214.6,1096.9,1239.8,1111.9,1272.3,1193.9
22,1203.6,1137.7,1145.6,1165,1280.2,1320.7,1210.9,1195.3,1171,1262.4,1176.8,1224.2,1073.2,1176.2,1337.9,1239.3
23,695,917.33,680.27,881.08,861.33,744.37,823.28,777.98,745.63,745.08,815,833.33,731.25,705.08,842.63,791.08
24,1170.1,1172.8,1150.6,1229.9,1248.4,1319.4,1413.2,1346.5,1317,1197.7,1215.8,1370,1158.4,1234.8,1137.4,1265.5
25,818.03,1033.1,978.72,961.57,1069.8,938.58,1043.2,900.25,929.92,1050.3,929.03,985.9,1008.5,953.75,1031.7,844.62
26,1531.6,1389.3,1298.7,1540.9,1588,1474.2,1706.1,1454.1,1278.4,1631.2,1410.5,1637.5,1601.8,1697.2,1790.2,1696
27,1176.6,1157.1,1159.7,1146,1419.8,1272.3,1205.7,1168.7,1164.5,1314,1191,1144.6,1136.8,1361.8,1201.3,1117.5
28,1038.4,1183.9,1194.8,1234.5,1047.1,1159.2,1193.8,1042.9,1128.9,1188.5,1232.4,1212.6,1240.2,1166.8,1267.6,1251.7
29,927.42,756.33,976,921.92,832.58,872,968.04,869.83,782.75,913.67,868.25,1010.6,874.3,856.92,888.33,1012.8
30,863.45,1173.1,1014.8,1059.8,1040.4,983.72,947,1235.1,1072.7,1133.4,1025.6,1148.5,959.75,948.75,976.43,1036.6
