Condition,Blue_tHi_Dm,Blue_tHi_Lm,Blue_tLo_Dm,Blue_tLo_Lm,Hot_tHi_Dm,Hot_tHi_Lm,Hot_tLo_Dm,Hot_tLo_Lm
0,1798.5,1685.9,1550.5,1591,1602.5,1594.2,1490.7,1549.8
0,977.1,979.09,958.94,965.06,958.74,965.22,977.57,910.53
0,1347.2,1279.7,1289,1236.1,1324.2,1301.4,1214.9,1310.6
0,1065,999.76,1021.1,1011.1,1074.7,1037.6,1122.5,1057.6
0,2234.3,2087.4,1971.8,1953.9,2354.2,2255.5,2071.3,2270.6
0,1085.3,1065.6,917.36,928.91,1043.1,1024.5,902.46,944.23
0,1195.9,1162.2,1144.4,1067.5,1211.6,1148.2,1177.3,1052.7
0,1557.5,1525.9,1420.7,1341.4,1539.1,1421.6,1368.4,1313
0,1257.1,1308.8,1338.4,1351.1,1331.7,1225.8,1202.2,1389.4
0,1593,1635.9,1386.4,1356.2,1610.2,1568.8,1418.9,1389.3
0,2191.9,2305.7,2096.9,1943.3,2440.8,1776.1,2175,1890.3
0,1365.1,1423.1,1306.9,1271.3,1345.4,1459.9,1288.2,1213.4
0,1224.2,1175.4,1080.5,1121.3,1255.9,1062.6,1106,898.56
0,1377.4,1326.5,1310.1,1264.6,1304.8,1334.3,1279.2,1293.6
0,1118.6,1179.2,1034.4,1200.2,1274.8,1119.2,1150.1,1121.5
0,1017.3,1049.7,1024.5,1141.1,1036.6,1081.8,987.97,977.36
0,1826.9,1683.9,1740.2,1548.1,1830.7,1732.9,1721.9,1619.9
0,939.34,934.75,919.56,924.74,913.91,954.8,954.36,972.03
0,1246.6,1396.3,1174.6,1180.8,1390.9,1328.9,1300.5,1253.5
0,1387.7,1452.3,1258.5,1101.2,1355.2,1311.6,1107.1,1141.2
0,1550.1,1350.7,1600,1393.8,1595.4,1552.4,1504.3,1488
0,1140,1166.1,1050,1042.7,1103,1136.1,978.9,1032.1
0,1400.7,1365.6,1273,1331.9,1360.7,1261.3,1191.8,1358.1
0,975.72,1008.6,986.28,976.97,933.53,1030.3,917.5,937.46
0,1731.2,1599.6,1557.2,1391,1555.3,1512.1,1558.8,1443.3
0,1110.9,1200.7,1168.3,1234.1,1176.3,1231,1214.1,1216
0,1319.9,1203.2,1186.5,1174.6,1256,1313,1177.7,1071.5
0,1689,1741.1,1481.9,1564.3,1659.3,1781.6,1444.8,1661
0,1272.7,1242.4,1210.6,1211.5,1356.4,1277.3,1281.8,1196.8
0,1306.3,1232.2,1194.8,1155.4,1269.2,1224.7,1113.7,1144.4
1,1232.2,1398.7,1226.6,1320.8,1254.9,1281.6,1242.9,1318.1
1,1529.4,1546.7,1273.2,1267.8,1435.3,1687.9,1344.6,1552.1
1,2633.6,3058,2465.8,2836.6,2704.2,2704.9,2247.5,2651.6
1,2516.8,2627,2314.5,2592.6,2300.2,2327.1,1854.2,2046.6
1,1545.6,1453.3,1544.1,1467.8,1650.2,1394.5,1460.1,1418.8
1,1605.1,1633.6,1297.9,1505.3,1604.9,1521,1442.9,1481.3
1,1456.5,1534.5,1338.1,1398.2,1515.7,1629.3,1474.4,1343.1
1,1064.3,1124.2,1014.1,1062.6,1182.1,1190,1085.8,1089.9
1,1538.6,1423.2,1503,1492.4,1581.9,1565.3,1531.3,1505.1
1,1577.7,2198,1623.2,1932.8,2157.6,2094.1,1600.5,1675
1,952.93,1060.4,974.83,1041.1,1012.9,1014.3,906.74,938.18
1,1255.1,1324.3,1421.8,1390.9,1278.8,1348.2,1313.1,1303.8
1,1486.3,1575.2,1516,1582.3,1496.1,1479.6,1548.3,1374.2
1,1197.1,1144.9,1004,1058.2,1140.8,1146,1139,1140.4
1,1206.3,1297.8,1100.2,1256.5,1244.9,1465.5,1124.5,1232.9
1,1361.5,1376.5,1064.2,1260,1369.4,1316.9,1301.7,1228.3
1,2111.8,2260.9,2025.7,2134,2139.2,2244.3,2399.5,2150.1
1,1455.8,1530,1279.4,1399.1,1367.4,1739.3,1169.8,1503.1
1,1348.5,1479.7,1207.4,1243.4,1363.2,1372.6,1159.5,1193.2
1,1593.8,1837.5,1727.9,1414.7,1725.3,1855.2,1859.5,2142.2
1,984.09,1049.8,979.75,872.92,1020.7,1004.3,918.29,892.33
1,1552.3,1706.3,1572.4,1676.4,1487.4,1503.8,1617.4,1478.2
1,1110.9,1096.6,990.34,1044.2,1049.7,1071,1014.6,1080.5
1,1821.3,1610.9,1659.4,1575.6,1735.2,1850.9,1529.5,1459.3
1,1163.5,1265.9,1211.2,1205.2,1296.3,1194.6,1192.5,1243.3
1,1067.4,1148.7,1050.9,1105.2,1104.3,1113.6,1051.3,1269.9
1,876.82,952.24,937.88,852.58,954.94,895.4,856.69,910.18
1,1092.7,1196.1,1081.3,1088.9,1177.4,1178.4,1085.3,1127.2
1,1439.6,1378.8,1108.3,1437.5,1293.8,1516.6,1122.8,1297.7
1,1544.6,1676.5,1377.3,1553.6,1610,1633.3,1311,1293.7
