Condition,Blue_tHi_Dm,Blue_tHi_Lm,Blue_tLo_Dm,Blue_tLo_Lm,Hot_tHi_Dm,Hot_tHi_Lm,Hot_tLo_Dm,Hot_tLo_Lm,Blue_Dm,Blue_Lm,Hot_Dm,Hot_LM,Dm,Lm
1,1076.6,1446.6,1416.1,1388.3,1193.9,1365.5,1408.4,1397.4,1246.35,1417.45,1301.15,1381.45,1273.75,1399.45
1,1279.2,1428.5,1336.3,1552.3,1330.8,1588.4,1316.6,1540.5,1307.75,1490.4,1323.7,1564.45,1315.725,1527.425
1,998.08,1024.7,1121.8,1113.1,990.28,1008.7,1040.8,1067,1059.94,1068.9,1015.54,1037.85,1037.74,1053.375
1,1210.5,1249.6,1243.2,1281.8,1120,1227.2,1190.5,1276.2,1226.85,1265.7,1155.25,1251.7,1191.05,1258.7
1,961.5,853,998.15,993.65,913.41,964.47,995.16,937.23,979.825,923.325,954.285,950.85,967.055,937.0875
1,970.19,1019.5,1128.7,1087.1,1064,1123.5,965.96,1099.5,1049.445,1053.3,1014.98,1111.5,1032.2125,1082.4
1,1129.6,1264.3,1208.8,1309.1,1173.4,1289.7,1122.7,1310.2,1169.2,1286.7,1148.05,1299.95,1158.625,1293.325
1,1364.4,1435.3,1467.7,1461.9,1272.6,1347.7,1361,1502.4,1416.05,1448.6,1316.8,1425.05,1366.425,1436.825
1,972.42,1073.4,1084,1134.4,984.79,1003.5,1059.5,1120.3,1028.21,1103.9,1022.145,1061.9,1025.1775,1082.9
1,1058.2,1194.6,1223.2,1265,1061.3,1047.7,1188.6,1260.5,1140.7,1229.8,1124.95,1154.1,1132.825,1191.95
1,1069.7,1125,1066.8,1128.7,972.54,1137.2,1036.9,1227.8,1068.25,1126.85,1004.72,1182.5,1036.485,1154.675
1,1019.9,1001.9,1062.1,1030.1,976.38,1026.5,1043.2,1025.7,1041,1016,1009.79,1026.1,1025.395,1021.05
1,1397.4,1440.2,1495.5,1535,1481.1,1549.3,1484.8,1582.9,1446.45,1487.6,1482.95,1566.1,1464.7,1526.85
1,1696.5,1620.1,1479.3,1685.3,1564.8,1656.9,1546.1,1848.4,1587.9,1652.7,1555.45,1752.65,1571.675,1702.675
1,1073.6,1036.7,1084.2,1095.7,1098.4,1142.3,1064.4,1072.2,1078.9,1066.2,1081.4,1107.25,1080.15,1086.725
1,1217.5,1305.1,1137.7,1288.6,1126.1,1388.4,1166.7,1360.3,1177.6,1296.85,1146.4,1374.35,1162,1335.6
