Condition,Blue_tHi_Dm,Blue_tHi_Lm,Blue_tLo_Dm,Blue_tLo_Lm,Hot_tHi_Dm,Hot_tHi_Lm,Hot_tLo_Dm,Hot_tLo_Lm,Blue_Dm,Blue_Lm,Hot_Dm,Hot_LM,Dm,Lm
0,1877.6,1636.8,1991.3,2181.1,1980,1840.7,2279.7,2093.9,1934.45,1908.95,2129.85,1967.3,2032.15,1938.125
0,2670.7,1745.2,1916.4,2434.8,2023.9,1820.6,2038.2,1944.8,2293.55,2090,2031.05,1882.7,2162.3,1986.35
0,1260.7,1031.2,1293.2,1145.8,1070.4,1092,1114.8,1154.5,1276.95,1088.5,1092.6,1123.25,1184.775,1105.875
0,1047.2,814.25,1192.7,1070.2,1037.1,840.83,1213.6,1154.5,1119.95,942.225,1125.35,997.665,1122.65,969.945
0,1083.5,1154.7,1246.6,1431.8,1250,1022.9,1235.9,1352.3,1165.05,1293.25,1242.95,1187.6,1204,1240.425
0,1065.5,959.75,1231.2,1258.3,1101.3,1031.4,1293.5,1157.1,1148.35,1109.025,1197.4,1094.25,1172.875,1101.6375
0,1395.7,1153.1,1406.3,1417,1421.7,1429.8,1412.1,1424.7,1401,1285.05,1416.9,1427.25,1408.95,1356.15
0,1545.3,1452.9,1772.6,1808.2,1510,1722.2,1649.9,1867.9,1658.95,1630.55,1579.95,1795.05,1619.45,1712.8
0,1259.8,1291.1,1336.1,1456.2,1340,1217.6,1438.6,1405.1,1297.95,1373.65,1389.3,1311.35,1343.625,1342.5
0,854.78,766.47,884.78,914.47,773.05,779.24,872.87,890.66,869.78,840.47,822.96,834.95,846.37,837.71
0,3330.6,2807,3495.7,2805.2,2529.5,3066.7,3427.4,2890,3413.15,2806.1,2978.45,2978.35,3195.8,2892.225
0,989.81,1029.2,1026.3,1097.9,1034.1,992.76,1089.5,1062.1,1008.055,1063.55,1061.8,1027.43,1034.9275,1045.49
0,1223.9,1222,1313.8,1201.3,1279.1,1199.2,1294.8,1235.9,1268.85,1211.65,1286.95,1217.55,1277.9,1214.6
0,1289.1,1072.6,1189.4,1216.3,1149.1,1005,1253.5,1039.5,1239.25,1144.45,1201.3,1022.25,1220.275,1083.35
